NO.,Species Name,Family,common name,country / region of origin,multiples?,room,sub collection,medicinal,notes
91,Espostoa lanata,Cactaceae,Peruvian old man,"Peru, Equador",2,515,Fiber,FALSE,
93,Ferocactus emoryi ,Cactaceae,Traveler's Friend,"Southern Arizona, Mexico",1,515,"Culinary, Ethnobotanical, Medicinal",TRUE,
129,Mammillaria plumosa,Cactaceae,Feather cactus,Northeastern Mexico,1,515,,FALSE,
148,Marginatocereus marginatus,Cactaceae,Fence Post Cactus,Central Mexico,1,515,,FALSE,
167,Lophocereus schottii ,Cactaceae,Totem Cactus,"Baha CA, Arizona",1,515,,FALSE,
170,Schlumbergera truncata,Cactaceae,Thanksgiving cactus,Brazil,1,513,,FALSE,Possibly Cultivar
184,Cereus repandus,Cactaceae,Peruvean Apple Cactus,South America,1,515,"Culinary, Ethnobotanical, Fiber",FALSE,
*,Pereskia grandifolia,Cactaceae,Rose Cactus,Brazil,1,515,,FALSE,
102a,Carnegiea gigantea,Cactaceae,Giant saguaro,"Arizona, California, USA; Sonora, Mexico",3,515,"Culinary, Fiber, Ethnobotanical",FALSE,
103(+139),Mammillaria elongata,Cactaceae,Golden stars,Mexico,4,515,,FALSE,
106a,Disocactus flagelliformis,Cactaceae,Rat tail cactus,Mexico,1,515,,FALSE,
113a,Cleistocactus straussii,Cactaceae,Silver torch,Bolivia and Argentina,2,515,,FALSE,
151a,Ferocactus wislizeni,Cactaceae,Fish hook barrel cactus,"Southwest US, Northwest Mexico",4,515,,FALSE,from Wave Hill
199a,Rhipsalis teres ,Cactaceae,Rounded Mistletoe Cactus,Brazil,2,513,,FALSE,
293a,Schlumbergera truncata var. delicata ,Cactaceae,False Christmas Cactus,Brazil,5,513,,FALSE,Possibly Cultivar
300a,Disocactus _ hybridus,Cactaceae,Orchid cactus,Hybrid,2,513,Hybrid,FALSE,Cross between Disocactus phyllanthoides and Disocactus speciosus
334a,Hatiora salicornioides,Cactaceae,Drunkard's dream,Brazil,2,515,,FALSE,
459a,Epiphyllum oxypetalum,Cactaceae,Queen of the night,Southern Mexico through South America,2,513,,FALSE,
494,Canna indica (?),Cannaceae,Indian Shot,Tropical Americas,2 (?),513,"Culinary, Ethnobotanical, Medicinal, Fiber",TRUE,
530a,Canna x generalis striatus ,Cannaceae,Bengal tiger,Hybrid (Tropical Americas),1,"513, hall",Hybrid,FALSE,Generalis' base is a cross between Canna glauca _ Canna indica _ Canna iridiflora
529,Chloranthus spicatus ,Chloranthaceae,Pearl Orchid ,"Southern China, Thailand",1,513,"Culinary, Fragrance, Medicinal",TRUE,
327,Combretum indicum,Combretaceae,Rangoon creeper,"Philippines, India, Malaysia",1,513,Medicinal,TRUE,
270,Dichorisandra thyrsiflora 'variegata' ,Commelinaceae,Variegated Blue ginger,Tropical Americas,1,513,Cultivar,FALSE,
024a,Callisia navicularis,Commelinaceae,Chain Plant,Mexico,2,515,,FALSE,
560a,Tradescantia pallida,Commelinaceae,Purple heart,Eastern Mexico,3,"513, Hallway",,FALSE,
168,Ipomea albivenia (?),Convolvulaceae,Wild Cotton,"South Africa, Mozambique and Zimbabwe",1,515,"Culinary, Medicinal",TRUE,
084a,Evolvulus glomeratus,Convolvulaceae,Brazilian dwarf morning-glory,Brazil and Paraguay,2,511,,FALSE,
17,Sedum pachyphyllum,Crassulaceae,Jellybeans,"Oaxaca, Mexico",1,515,,FALSE,
29,"Sedum dasyphyllum (maybe 2 plants, w/154; might have been switched too)",Crassulaceae,Corsican stonecrop or thick-leaved stonecrop,Mediterranean,maybe 2,515,,FALSE,
54,Echeveria spp,Crassulaceae,,,1,515,,FALSE,
60,Crassula x deceptrix ,Crassulaceae,Dwarf Chain Propeller Plant,Hybrid (South Africa),1,515,Hybrid,FALSE,Cross of: Crassula deceptor x C. perfoliata var. falcata
77,Echeveria sp (mislabeled),Crassulaceae,,,2,515,,FALSE,
96,Crassula ovata ,Crassulaceae,Jade plant,South Africa,2,515,,FALSE,
126,Aeonium haworthii,Crassulaceae,Pinwheel,Canary Islands,1,515,,FALSE,
008a,Kalanchoe tomentosa,Crassulaceae,Panda plant,Madagascar,5,515,,FALSE,
021 c,Crassula x imperialis ,Crassulaceae,Giant's watch chain,Hybrid (S.Africa),3,515,Hybrid,FALSE,Cross between : Crassula muscosa x C. pyramidalis
025a,Pachyphytum 'Dr. Cornelius',Crassulaceae,Moonstones,Hybrid (Mexico),1,515,Hybrid,FALSE,Suspected Cross of : Pachyphytum glutinicaule x Echeveria sp
026a,Kalanchoe x 'Fernleaf' ,Crassulaceae,Fernleaf felt bush,Hybrid (Madagascar),3,515,Hybrid ,FALSE,Suspected cross between:  Kalanchoe beharensis x K. millotii 
037a,Crassula ovata cv. 'Gollum',Crassulaceae,Gollum Jade,South Africa,4,515,Cultivar,FALSE,Monstrose form of C. ovata
040a,Crassula perfoliata var. falcata,Crassulaceae,Propeller Plant,South Africa,3,515,,FALSE,
046a,Aeonium arboreum  'Zwartkop',Crassulaceae,Black tree aeonium,Canary Islands,1,515,Cultivar,FALSE,
051a,Crassula ovata (Small Leaves),Crassulaceae,Jade plant,South Africa,2,515,,FALSE,
053a,Sedum rubrotinctum,Crassulaceae,Christmas cheer,Mexico,3,515,,FALSE,
095a,Sedum morganianum,Crassulaceae,Donkey Tail,"Southern Mexico, Honduras",4,515,,FALSE,
111a,Echeveria multicaulis ,Crassulaceae,Copper rose,Mexico,1,515,,FALSE,
115 a,Bryophyllum delagoense,Crassulaceae,Mother of Thousands,Madagascar,1,515,,FALSE,
121a,Graptopetalum paraguayense,Crassulaceae,Ghost plant,Mexico,5,515,,FALSE,
125a,Echeveria pulvinata,Crassulaceae,Chenile plant,Mexico : Oaxaca,2,515,,FALSE,
128a,Crassula rupestris subsp. marnieriana ,Crassulaceae,Jade necklace,South Africa,1,515,,FALSE,
154a,Sedum spp (could be dasyphyllum / 29),Crassulaceae,,,1,515,,FALSE,
177a,Crassula muscosa,Crassulaceae,Watch Chain,South Africa,2,515,,FALSE,
238,Cyperus alternifolius,Cyperaceae,Umbrella plant,Madagascar,4,513,"Marginal, Aquatic",FALSE,
239a,Cyperus prolifer,Cyperaceae,Dwarf papyrus,Africa,1,513,"Marginal, Aquatic",FALSE,
19,Alluaudia procera,Didiereaceae ,Madagascar Ocotillo,S. Madagascar,1,515,Spiny Forest,FALSE,from prof. Hertz 
266,Dioscorea mexicana,Dioscoreaceae,Turtle plant,Mexico,2,515,Caudiciform; Vine,FALSE,
296,Drosera capensis,Droseraceae,Cape sundew,South Africa,Multiple,513,Carniverous,FALSE,
301,Dionaea muscipula,Droseraceae,Venus fly trap,"N. and S. Carolina, USA",Multiple,513,Carniverous,FALSE,
81,Ephedra viridis,Ephedraceae,Mormon tea,Southwestern United states,1,515,"Ethnobotanical, Medicinal",TRUE,
82,Ephedra nevadensis,Ephedraceae,Nevada tea,Southwestern United states,1,515,"Ethnobotanical, Medicinal",TRUE,
486,Equisetum hyemale,Equisetaceae,Scouring Rush,"Holartic Kingdom (North America, Europe, and northern Asia.)",2,515,Marginal; Aquatic,FALSE,Kept in tank
144,Euphorbia aeruginosa,Euphorbiaceae,Miniature saguaro,South Africa,1,515,,FALSE,
152,Euphorbia obesa,Euphorbiaceae,Baseball plant,"Cape Provence, South Africa",1,515,,FALSE,
180,Euphorbia barnardii,Euphorbiaceae,Mokgwakgwatha,"Limpoo Provence, Africa",1,515,,FALSE,
194,Euphorbia trigona,Euphorbiaceae,African milk tree,Gabon,1,515,,FALSE,
394,Jatropha podagrica,Euphorbiaceae,Gout plant,Central America,1,515,Medicinal,TRUE,
066a,Euphorbia decaryi,Euphorbiaceae,Common name not found,Madagascar,1,515,,FALSE,
074a,Euphorbia splendens spp. Euphorbia milii var. splendens,Euphorbiaceae,Christ plant,Madagascar,1,515,,FALSE,
159a,Euphorbia bajoensis possible misspelling of Euphorbia baioensis ,Euphorbiaceae,Common name not found,Kenya,2,515,,FALSE,
186a,Euphorbia tirucalli,Euphorbiaceae,"Pencil plant, Milk bush","Uganda, Congo",1,515,,FALSE,
195a,Euphorbia lactea,Euphorbiaceae,"Mottled Spurge, Frilled Fan[citation needel, Elkhorn,candelabra spurge, Candelabrum tree, Candelabra cactus, Candelabra plant, dragon bones, false cactus, hatrack cactus,Milkstripe euphorbia, Mottled candlestick",tropical asia,1,515,,FALSE,
250a,Euphorbia splendens bojen Euphorbia milii var. splendens?,Euphorbiaceae,Christ plant,Madagascar,3,515,,FALSE,
251a,Euphorbia splendens 'somona' Euphorbia milii var. splendens?,Euphorbiaceae,Dwarf crown of thorns,West.Madagascar,3,515,,FALSE,
356a,Acalypha pendula,Euphorbiaceae,Chenille Fuzzy Wuzzy,Cuba,2,511,,FALSE,
142,Euphorbia mammillaris,Euphorbiceae,Corncob cactus,Southern Africa,1,515,,FALSE,
216,Calliandra tergemina var. emarginata,Fabaceae  ,Pink powder puff,Central America,1,513,Medicinal,TRUE,
290a,Mimosa pudica,Fabaceae,Sensitive Plant,South and Central America,5,513,"Rapid movement, Research ",FALSE,
492a,Senna ssp. (poss. S. alexandrina),Fabaceae  ,Senna,,1,513,Medicinal,TRUE,
507a,Ceratonia siliqua (male),Fabaceae ,Carob tree,Eastern Medeterranean,1,513,Cullinary,FALSE,
507b,Ceratonia siliqua (gender unknown),Fabaceae  ,Carob Tree,Eastern Medeterranean,1,511,Cullinary,FALSE,
254,Pelargonium carnosum,Geraniaceae,Fleshy Stalk Geranium,"South Africa, Namibia",1,515,,FALSE,
391a,Pelargonium radens,Geraniaceae,Rasp Leaf Geranium,South Africa,1,hallway,Cullinary,FALSE,
556,Episcia dianthiflora,Gesneriaceae,Lace Flower,donat.-Laidman,1,511,,FALSE,
176a,Aeschynanthus radicans,Gesneriaceae,Lipstick plant,Malaysia,2,513,,FALSE,
204a,"Columnea gigantea (may be Dalbergaria gigantea, or C. Gigantifolia)",Gesneriaceae,,Tropical Americas,1,513,,FALSE,
223a,Nematanthus wettsteinii,Gesneriaceae,Goldfish plant,Tropical Americas,2,"511, 513",,FALSE,
393a,Streptocarpus 'Cobalt Nymph',Gesneriaceae,Cape primrose,,3,513,Cultivar,FALSE,"1968 Collective name for artifically induced mutants of 'Constant Nymph' produced at Inst. for Atomic Science in Agric. Wageningen, Netherlands, 1968, by Broertjes using x-radiation on leaves with or without colchicine. The named clones are 'Blue Nymph', 'Cobalt Nymph', 'Mini Nymph' 'Netta Nymph', and 'Purple Nymph'. (AGGS register). Originallly mutated from Streptocarpus ’Merton Blue’ x Streptocarpus Johannis. "
234,Ginkgo biloba,Ginkgoaceae,Maidenhair Tree,China,1,511,gymnosperm,FALSE,
201a,Gnetum gnemon ( female),Gnetaceae,,"Southeast Asia, Western Pacific Islands",1,513,gymnosperm,FALSE,
201b,Gnetum gnemon ( male ?) ,Gnetaceae,,"Southeast Asia, Western Pacific Islands",2,511,gymnosperm,FALSE,
559a,Neomarica northiana,Iridaceae,Walking Iris,Brazil,2,Hallway,,FALSE,
185a,Plectranthus amboinicus 'Variegated',Lamiaceae,Spanish Oregano,"Southern, Eastern Africa",multiples,hallway,"cullinary, medicinal, cultivar",TRUE,
285a,Mentha spicata,Lamiaceae,Spearmint,Mediterranean Europe,2,511,"cullinary, medicinal",TRUE,
397a,Plectranthus hadiensis,Lamiaceae,Mint Leaf Spurflower,Africa,multiple,hallway,"cullinary, medicinal",TRUE,
498a,Salvia leucantha,Lamiaceae,Mexican Bush Sage,"Central, Eastern Mexico",1,513,,FALSE,
505a,Rosmarinus officinalis,Lamiaceae,Rosemary,Mediterranean ,2,511,Cullinary,FALSE,
554a,Coleus sp.,Lamiaceae,Coleus,,multiple,"511, 513",cultivar,FALSE,
9,Laurus nobilis,Lauraceae,Bay Laurel,Mediterranean ,1,511,"cullinary, medicinal, ethnobotanical",TRUE,propagated from BBG
412,Persea americana,Lauraceae,Avocado,Central Mexico,1,511,cullinary,FALSE,
313,Acacia melanoxylon,Fabaceae,Blackwood Acacia,Eastern Australia,1,515,"fiber, medicinal, ethnobotanical",TRUE,
390,Lemna minor,Araceae,Common Duckweed,"Africa, Asia, Europe, North America",1,513,"aquatic, agricultural (fodder)",FALSE,
252,Chlorophytum comosum 'Variegatum',Asparagaceae,Varigated Spider Plant,Africa,1,hallway,"variegated, cultivar",FALSE,
016a,Haworthia ryderiana ,Liliaceae,,South Africa,1,515,,FALSE,
224a,Bowiea volubilis,Asparagaceae,Climbing onion,"Eastern, Southern Africa",3,515,,FALSE,
203,Ruscus aculeatus,Asparagaceae,Butcher's broom,Mediterranean,1,515,medicinal,TRUE,
257,Ruscus hypoglossum,Asparagaceae,Spineless Butcher's Broom,Southern Europe,1,515,,FALSE,
284,Asparagus officinalis,Asparagaceae,Asparagus,"Europe, Western Asia",1,,cullinary,FALSE,
500,Beaucarnea recurvata,Asparagaceae,Ponytail Palm,Eastern Mexico,1,hallway,,FALSE,
28,Haworthia fasciata,Xanthorrhoeaceae,Zebra haworthia,Southern Africa,3,515,,FALSE,
007a,Haworthia cooperi,Xanthorrhoeaceae,no common name found,"Eastern Cape Province, South Africa",3,515,,FALSE,
034a,Gasteria batesiana (?),Xanthorrhoeaceae,Ox-tongue,South Africa,3,515,,FALSE,
055a,Haworthia coarctata,Xanthorrhoeaceae,Wart plant,Southern Africa,3,515,,FALSE,
057a,Aloe juvenna,Xanthorrhoeaceae,Miniature aloe tiger's tooth aloe,Kenya,2,515,,FALSE,
062a,Gasteria nitida var. armstrongii,Xanthorrhoeaceae,no common name found,South Africa,2,515,,FALSE,
088a,Haworthia mutica,Xanthorrhoeaceae,no common name found,South Africa,2,515,,FALSE,
092a,Haworthia mucronata var. morrisiae,Xanthorrhoeaceae,no common name found,South Africa,1,515,,FALSE,
109a,Aloe brevifolia,Xanthorrhoeaceae,no common name found,Southern Africa,1,515,,FALSE,
160b,Haworthia glauca,Xanthorrhoeaceae,no common name found,South Africa,2,515,,FALSE,
467a,Nephrolepis cordifolia,Nephrolepidaceae,Tuberous Sword Fern,"South Pacific, Hawaii",2,513,cullinary (edible- ethnobatanical?),FALSE,
479a,Nephrolepis exaltata,Nephrolepidaceae,Boston Sword Fern,Pantropical,2,513,,FALSE,
428,Huperzia carinata,Lycopodiaceae,Firmoss / Fir Clubmoss,Southeaset Asia,3,513,,FALSE,
445a,Lygodium japonicum,Lygodiaceae,Japanese Climbing Fern,"Eastern, Southeast Asia, Eastern Australia",1,513,"medicinal, fiber",TRUE,
279,Galphimia glauca,Malpighiaceae,Golden Shower,"Mexica, Central America",1,513,medicinal,TRUE,
424,Pseudobombax ellipticum,Malvaceae,Shaving Brush Tree,"Mexico, El Salvador, Guatemala, Honduras, Cuba",2,"511, 513","Ethnobotanical, Edible, Medicinal, Fiber",TRUE,
518,Hibiscus rosa-sinensis,Malvaceae,Chinese hibiscus,East Asia,1,513,"Cullinary, Medicianl, Ethnobotanical",FALSE,
542,Hibiscus schizopetalus,Malvaceae,Japanese Lantern Hibiscus,Tropical Eastern Africa,1,512,,FALSE,
316,Calathea bachemiana,Marantaceae,Prayer Plant,Brazil,1,513,fiber,FALSE,
318a,Calathea zebrina,Marantaceae,Zebra plant,Brazil,2,513,fiber,FALSE,
464,Angiopteris evecta,Marattiaceae,Giant Fern,South Pacific Islands,1,513,cullinary (edible- ethnobatanical?),FALSE,
248,Marsillea quadrifolia,Marsileaceae,Water clover,,1,513,"cullinary, medicinal",TRUE,
262,Melastoma malabathricum,Melastomataceae,Malabar Melastome,"Indomalaya, Japan and Australia",1,Hallway,"cullinary, medicinal",TRUE,
521,Monolena primuliflora,Melastomataceae,(ant plant),Ecuador and Peru,1,513,ant plant,FALSE,
533a,Tibouchina urvilleana,Melastomataceae,Princess flower,Brazil,1,Hallway,,FALSE,
104,Lithops spp. ,Aizoaceae,Living stone,,1,515,,FALSE,
149,Pleiospilos magnipunctatus (Unresolved),Aizoaceae,Spotted Split Rock,South Africa,1,515,,FALSE,from Wave Hill
076a,Trichodiadema stelligerum (Trichodiadema barbatum?),Aizoaceae,Bearded Crownfig,South Africa,1,515,,FALSE,
314,Ficus carica,Moraceae,Common fig,"E. Mediterranean, S.W. Asia",1,513,"cullinary, ethnobotanical",FALSE,
392,Ficus religiosa,Moraceae,Sacred Bo Tree,Tropical Asia,1,513,"medicinal, ethnobotanical",TRUE,
452,Ficus elastica 'Doescheri',Moraceae,Varigeted Rubber Plant,South and Southeast Asia,1,Hallway,"Fiber (latex), variegated, cultivar",FALSE,
451a,Ficus lyrata,Moraceae,Fiddleleaf fig,Tropical Western Africa,2,"513, Hallway",,FALSE,
561a,Dorstenia contrajerva,Moraceae,Contrahierba,"Northern South America and Central America, Caribbean",multiple,513,"Medicinal, ethnobotanical",TRUE,
265,Musa acuminata (Musa (AAA group) 'Dwarf Cavendish'),Musaceae,Dwarf Cavendish Banana,Southeast Asia,1 (multi),511,"cullinary, cultivar, commodity",FALSE,
510,Strelitzia juncea,Strelitziaceae,Narrow Leaved Bird of Paradise,South Africa,1,513,,FALSE,
531,Ravenala madagascariensis,Strelitziaceae,Traveller's Palm,Madagascar,1,513,"edible, fiber",FALSE,
396a,Strelitzia alba,Strelitziaceae,White Bird of Paradise,South Africa,2,513,fiber,FALSE,
321,Acca sellowiana,Myrtaceae,Pineapple Guava,Temperate South America,1,513,"cullinary, ",FALSE,
502,Corymbia citriodora,Myrtaceae,Lemon Scented Gum,Northeastern Austraila,1,513,"medicinal, essential oil",TRUE,
538,Callistemon rigidus,Myrtaceae,Narrow Leaved Bottlebrush,Australia,1,513,,FALSE,
534a,Psidium cattleianum,Myrtaceae,Strawberry Guava,Brazil,2,513,"Cullinary, invasive (highly)",FALSE,
295a,Nepenthes alata ,Nepenthaceace,Pitcher plant,The Plillipines,3,513,Carnivorous,FALSE,
355,Nepenthes 'Miranda' ,Nepenthaceae,Pitcher plant,Hybrid,1,513,"Carnivorous, hybrid",FALSE,Hybrid: N. maxima x N. northiana
407,Bougainvillea spp. ,Nyctaginaceae,Bougainvillea ,"Brazil, Bolivia, Peru, and Argentina",1,515,,FALSE,
217,Nymphaea spp ,Nymphaeaceae,Dwarf Water Lily,,1,511,,FALSE,
570,Nymphaea 'Attraction',Nymphaeaceae,Water Lily,hybrid,1,511,Hybrid,FALSE,Bred (released) in 1910 by Latour-Marliac
240,Jasminum nobile,Oleaceae,Royal Jasmine,Southwest Thailand,1,513,,FALSE,
264,Jasminum tortuosum,Oleaceae,Twisted Jasmine,South Africa,1,Hallway,,FALSE,
522,Jasminum laurifolium var. laurifolium,Oleaceae,Angel Wing Jasmine,Himalayas to Thailand,1,513,,FALSE,
368a,Fuchsia triphylla,Onagraceae,Firecracker Fuchsia,"Haiti, Dominican Republic, Caribbean",3,"511, 513",,FALSE,